I Vapp Center(x) Center(y)
-2.9951605306015087e-15 -0.1 53.11220893891942 -25.94675610842681
-3.0863857797377614e-15 -0.1 55.15498620580094 -27.126154113355305
-3.1245183382432486e-15 -0.1 57.19776347268246 -28.305552118283796
-3.1245183382432486e-15 -0.1 59.24054073956397 -29.484950123212286
-3.242855508120118e-15 -0.1 61.283318006445484 -30.664348128140777
-3.242855508120118e-15 -0.1 63.326095273327006 -31.843746133069267
-3.242855508120118e-15 -0.1 6.128331800644549 3.5381940147854745
-3.122480044389061e-15 -0.1 8.171109067526064 2.358796009856983
-3.072770864642762e-15 -0.1 10.213886334407581 1.1793980049284916
-3.0188271381955114e-15 -0.1 12.256663601289098 0.0
-3.0188271381955114e-15 -0.1 14.299440868170615 -1.1793980049284911
-2.8292063538012418e-15 -0.1 16.34221813505213 -2.3587960098569822
-2.751208185462132e-15 -0.1 18.384995401933647 -3.5381940147854745
-2.751208185462132e-15 -0.1 20.427772668815162 -4.717592019713965
-2.5387084435961992e-15 -0.1 22.470549935696678 -5.896990024642457
-2.4626670535059846e-15 -0.1 24.513327202578196 -7.076388029570948
-2.3896091469912616e-15 -0.1 26.556104469459708 -8.255786034499438
-2.3340326003383323e-15 -0.1 28.59888173634122 -9.435184039427929
-2.300594413861121e-15 -0.1 30.641659003222742 -10.614582044356425
-2.2756267516311987e-15 -0.1 32.684436270104264 -11.793980049284915
-2.27308639370317e-15 -0.1 34.72721353698578 -12.973378054213406
-2.287309487264798e-15 -0.1 36.76999080386729 -14.152776059141898
-2.33754245002595e-15 -0.1 38.81276807074881 -15.332174064070388
-2.33754245002595e-15 -0.1 40.855545337630325 -16.51157206899888
-2.470126817575204e-15 -0.1 42.89832260451183 -17.69097007392737
-2.544416578099327e-15 -0.1 44.94109987139335 -18.87036807885586
-2.6423559829042503e-15 -0.1 46.98387713827487 -20.049766083784352
-2.737440974569715e-15 -0.1 49.026654405156386 -21.229164088712846
-2.78863179032226e-15 -0.1 51.069431672037894 -22.408562093641336
-2.9257617292125706e-15 -0.1 53.11220893891942 -23.58796009856983
-3.0005714105131594e-15 -0.1 55.15498620580094 -24.76735810349832
-3.042643861086554e-15 -0.1 57.19776347268245 -25.94675610842681
-3.136126066555089e-15 -0.1 59.24054073956397 -27.126154113355305
-3.136126066555089e-15 -0.1 61.283318006445484 -28.305552118283796
-3.1772516942782682e-15 -0.1 63.326095273327 -29.484950123212286
-3.1875880591045594e-15 -0.1 65.36887254020851 -30.664348128140777
-3.1133073933342348e-15 -0.1 8.171109067526064 4.717592019713965
-3.0648661246556775e-15 -0.1 10.213886334407581 3.5381940147854745
-2.9973089311010636e-15 -0.1 12.256663601289098 2.3587960098569827
-2.9301685938834923e-15 -0.1 14.299440868170615 1.1793980049284911
-2.9301685938834923e-15 -0.1 16.34221813505213 0.0
-2.7541934637562405e-15 -0.1 18.384995401933644 -1.1793980049284911
-2.6529771240122776e-15 -0.1 20.427772668815162 -2.358796009856983
-2.5684067166675424e-15 -0.1 22.470549935696678 -3.5381940147854745
-2.5684067166675424e-15 -0.1 24.513327202578196 -4.717592019713965
-2.5684067166675424e-15 -0.1 26.556104469459708 -5.896990024642457
-2.3560463632947824e-15 -0.1 28.598881736341227 -7.076388029570948
-2.2864149363559027e-15 -0.1 30.64165900322274 -8.255786034499438
-2.2864149363559027e-15 -0.1 32.68443627010426 -9.435184039427932
-2.2864149363559027e-15 -0.1 34.72721353698578 -10.614582044356425
-2.2864149363559027e-15 -0.1 36.76999080386729 -11.793980049284915
-2.2969584075209325e-15 -0.1 38.81276807074881 -12.973378054213406
-2.2969584075209325e-15 -0.1 40.855545337630325 -14.152776059141898
-2.410863368143105e-15 -0.1 42.89832260451183 -15.332174064070388
-2.47017400256994e-15 -0.1 44.941099871393355 -16.51157206899888
-2.47017400256994e-15 -0.1 46.98387713827487 -17.69097007392737
-2.6584209625067066e-15 -0.1 49.02665440515639 -18.87036807885586
-2.7212391718253572e-15 -0.1 51.0694316720379 -20.049766083784352
-2.8412807841972273e-15 -0.1 53.112208938919416 -21.229164088712846
-2.8412807841972273e-15 -0.1 55.154986205800945 -22.40856209364134
-2.9926229457295673e-15 -0.1 57.19776347268246 -23.58796009856983
-2.9926229457295673e-15 -0.1 59.24054073956397 -24.76735810349832
-3.078402143069201e-15 -0.1 61.28331800644549 -25.94675610842681
-3.078402143069201e-15 -0.1 63.326095273327006 -27.126154113355305
-3.1472658309456694e-15 -0.1 65.36887254020851 -28.305552118283796
